CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0-5,Child6-12,Child13-18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,DollarsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire
21202,34,100,2,S,F,S,1,Y,45,25,100,28000,M,4,E,0,5,28.99,0.48,3,44,1,0,0,0,3,0,3,0,0,0,N,0,45,45,32
35750,58,100,14,S,F,M,5,Y,0,0,100,58000,U,2,E,0,3,12,0.5,3,32,A,0,2,0,0,0,2,0,0,0,N,0,32,32,17
29088,61,100,13,M,F,M,3,Y,100,100,35,5000,R,3,O,2,10,68.96,0.67,5,114,M,0,2,0,0,0,2,0,0,0,N,0,231,110,63
31605,50,100,1,S,F,M,2,Y,100,100,45,44000,U,2,E,0,4,17,0.86,0,35,A,0,2,0,0,0,1,1,0,0,N,0,77,35,20
27969,29,100,6,S,F,S,4,Y,45,65,35,95000,M,3,A,0,1,21,0.48,3,8,A,0,2,0,0,1,1,0,0,0,N,0,31,31,17
7228,69,100,1,M,M,M,2,Y,35,15,100,85000,W,9,O,0,8,74,0.92,4,75,A,0,1,0,0,0,1,0,0,0,Y,1,133,75,47
36000,63,100,9,S,F,M,4,U,45,55,35,207000,M,5,E,0,3,0,0,1,36,A,2,1,0,0,0,1,1,1,0,N,0,66,36,22
25455,37,100,1,S,F,S,2,Y,0,100,0,62500,U,3,O,0,8,19,0.79,1,116,A,0,1,0,0,0,1,0,0,0,N,0,116,116,92
18833,56,100,1,S,F,S,1,Y,35,0,35,29000,W,2,O,0,7,16,1.33,1,105,A,0,1,0,0,0,1,0,0,0,N,0,105,105,92
41576,22,0,7,S,F,S,2,N,15,15,35,15000,M,2,O,0,11,202.57,1.16,5,132,A,0,2,0,0,0,2,0,0,0,N,0,208,132,119
26932,32,100,12,S,F,M,3,N,0,0,0,62500,U,3,O,0,10,11,0.92,1,70,A,0,1,0,0,0,1,0,0,0,N,0,88,70,58
5926,63,100,14,S,F,S,4,Y,100,55,35,105000,M,7,O,1,10,49,0.89,3,61,A,0,2,0,1,0,3,0,0,0,N,0,150,106,91
7720,57,100,4,S,F,M,3,Y,0,0,0,62500,U,4,O,1,6,62.76,0.92,3,94,A,0,1,0,0,0,1,0,0,0,N,0,174,94,58
42406,42,0,4,S,F,S,4,Y,0,0,100,119000,B,3,C,0,8,55.97,0.92,2,94,A,1,1,1,0,0,2,1,0,0,N,0,104,94,52
37682,62,100,14,S,M,M,5,U,25,0,35,114000,B,2,E,0,5,85,1.73,4,31,A,0,2,0,0,0,2,0,0,0,N,0,57,57,43
9284,62,100,14,S,F,M,5,Y,45,65,45,168000,M,8,O,2,6,56.96,0.55,5,117,M,0,1,0,0,0,1,0,0,0,N,0,300,117,69
20751,42,100,11,S,F,M,4,Y,0,75,100,35000,M,3,E,0,4,0,0,2,35,A,0,2,0,0,0,2,0,0,0,N,0,56,56,43
32183,71,100,10,S,F,M,4,Y,35,0,35,90000,W,3,O,0,15,19,0.79,1,121,A,0,1,0,0,0,1,0,0,0,N,0,121,121,97
14012,64,100,14,S,F,M,6,N,15,15,45,132000,U,4,O,2,10,82.97,0.81,8,83,1,0,0,0,1,0,1,0,0,0,N,0,409,84,47
31835,35,100,14,S,F,M,3,Y,100,0,35,47000,W,3,E,0,3,64.94,0.77,4,26,A,1,2,0,0,0,2,0,2,0,N,0,191,26,14
1130,52,50,8,S,F,S,1,U,35,25,25,5000,B,4,E,1,4,17,0.36,2,51,A,0,2,0,0,0,2,0,0,0,N,0,53,53,36
5916,58,100,4,S,M,M,3,Y,15,0,45,65000,W,2,E,0,4,130.5,1.67,13,26,A,0,2,0,0,0,2,0,0,0,N,0,156,133,120
38673,41,100,3,S,F,S,2,Y,100,45,45,45000,M,2,E,0,0,66,1.38,1,47,F,0,1,0,0,0,2,0,0,0,N,0,47,47,10
10339,73,100,4,S,F,M,2,N,25,15,35,93000,R,4,E,0,4,132.89,0.52,8,40,I,1,1,0,0,0,2,0,0,0,N,0,163,127,80
22117,42,100,2,S,M,S,3,Y,35,45,100,53000,W,6,E,0,2,12,1.5,1,15,A,0,1,0,0,0,1,0,0,0,N,0,17,15,5
12356,52,100,14,S,F,M,4,Y,65,45,100,116000,W,8,O,0,11,56,0.79,6,132,A,0,1,0,0,0,1,0,0,0,N,0,183,132,119
23043,42,100,6,S,F,M,3,Y,55,100,100,5.00E+05,U,9,O,0,11,9.5,NA,4,147,1,0,0,0,1,0,2,0,0,0,Y,4,197,136,109
44023,66,0,14,S,F,S,3,N,0,0,35,14000,R,1,E,0,4,83.96,1.55,2,42,A,0,2,0,0,0,2,0,0,0,N,0,42,42,17
38672,60,100,7,S,F,M,4,Y,0,0,0,137500,W,8,A,0,2,36,1.06,2,3,A,0,2,0,0,1,1,0,0,0,N,0,47,47,22
14891,75,100,7,S,F,S,1,N,45,35,15,53000,W,5,O,1,8,108.97,1.43,6,90,1,0,2,1,3,0,6,0,0,0,N,0,287,114,89
20408,24,100,14,S,F,M,1,N,15,25,15,23000,U,2,A,0,3,10,0.31,3,32,A,0,2,0,0,1,1,0,0,0,N,0,32,32,18
38279,42,100,4,S,M,S,2,Y,25,35,35,159000,U,5,E,0,5,27.79,1.07,2,35,A,0,2,0,0,0,2,0,0,0,N,0,35,35,22
37426,50,100,14,S,F,M,4,Y,45,45,100,87000,M,9,E,0,3,104,1.08,3,32,A,0,3,0,0,0,3,0,0,0,N,0,60,60,11
4298,55,100,12,S,M,M,4,Y,45,45,45,210000,W,9,O,1,15,117.97,0.79,9,121,A,0,1,0,0,0,1,0,0,0,Y,1,312,121,100
38282,52,100,14,S,M,S,3,N,0,0,0,12000,B,1,A,0,3,114,1.58,2,30,A,0,2,0,0,1,1,0,0,0,N,0,50,50,13
28466,50,100,1,S,F,S,2,N,25,0,45,94000,W,2,B,0,4,18.49,0.46,2,100,F,0,1,0,0,0,1,0,1,0,N,0,300,100,88
16276,62,100,1,S,F,S,3,Y,35,55,45,87000,W,5,E,1,4,19,0.53,1,47,1,0,0,0,1,0,1,0,0,0,N,0,48,48,11
34948,49,100,3,S,F,M,4,Y,15,100,45,351000,W,9,E,0,4,61,0.85,3,50,A,0,2,0,0,0,2,0,0,0,N,0,86,83,37
29952,59,100,5,S,F,M,6,Y,65,0,100,186000,M,6,E,0,5,19.98,0.79,2,40,A,0,2,0,0,0,2,0,0,0,N,0,77,40,25
35954,69,100,1,S,F,S,3,Y,100,100,0,62500,W,1,E,0,4,24,0.74,1,26,A,0,2,0,0,0,2,0,0,0,N,0,74,48,36
3119,54,100,14,S,M,M,5,Y,15,0,35,96000,H,6,E,1,3,30.97,0.53,2,48,1,0,1,0,1,0,2,0,0,0,N,0,48,48,11
37210,46,100,5,S,F,M,4,Y,100,100,65,90000,W,4,O,0,7,21.97,0.92,1,61,A,0,1,0,0,0,1,0,0,0,N,0,61,61,37
81,75,20,1,M,F,M,2,U,0,0,0,62500,U,8,O,2,2,120.85,0.4,18,120,A,0,1,2,1,0,4,0,0,0,N,0,529,120,90
172,51,20,1,M,F,U,2,U,0,0,0,30000,M,6,E,0,4,243.91,1.42,5,55,0,1,3,0,0,0,3,0,1,0,N,0,74,74,10
16038,58,100,14,S,F,M,6,Y,100,45,100,88000,W,3,E,0,6,32,0.89,2,62,A,0,1,0,0,0,1,0,0,0,Y,1,68,62,32
9103,78,100,14,S,F,M,2,N,25,0,25,19000,R,3,E,1,4,19,0.41,2,36,A,0,1,0,0,0,1,0,0,0,N,0,36,36,7
17618,40,100,14,S,F,M,2,Y,0,0,100,138000,U,5,E,0,0,88,1.04,6,16,A,1,3,0,0,0,3,0,2,0,N,0,145,112,97
34043,41,100,9,S,F,M,4,Y,0,65,45,57000,M,2,O,0,9,44,1.63,2,88,A,0,1,0,0,0,1,0,0,0,N,0,101,88,73
44212,36,0,5,S,F,S,3,Y,15,100,25,21000,W,3,E,0,5,0,0,1,28,A,0,1,0,0,0,1,0,0,0,N,0,28,28,14
39730,39,100,1,S,M,M,2,U,15,15,35,45000,W,8,E,0,5,0,0,1,35,A,0,1,0,0,0,1,0,0,0,N,0,35,35,21
37003,38,100,3,S,F,S,3,Y,100,100,100,57000,M,3,E,0,0,44,1,3,12,A,0,2,0,0,0,2,0,0,0,N,0,19,12,9
33715,40,100,11,S,F,M,3,Y,75,100,65,162000,U,7,O,0,5,9.9,0.52,2,53,A,0,2,0,0,0,3,0,0,0,N,0,85,53,39
44249,43,0,1,S,M,M,1,Y,35,25,45,44000,U,2,E,0,2,26,1.3,2,23,A,0,2,0,0,0,2,0,0,0,N,0,23,23,9
37284,50,100,8,S,F,M,6,Y,100,45,75,80000,R,4,B,0,2,0,0,1,61,F,0,1,0,0,0,1,0,1,0,N,0,61,61,49
6996,61,100,14,S,F,M,2,Y,25,100,35,44000,B,1,O,0,7,52.97,0.91,3,87,A,0,2,0,1,0,3,0,0,0,N,0,117,117,92
35991,52,100,3,S,F,S,1,U,35,25,25,19000,M,3,A,0,1,30,0.21,4,1,A,1,3,0,0,1,2,0,1,0,N,0,73,73,61
9065,49,100,9,S,F,M,2,Y,45,75,45,143000,W,6,E,0,4,20,0.56,1,41,1,0,0,0,1,0,1,0,0,0,N,0,42,42,5
18706,36,100,1,S,F,M,2,Y,75,100,75,105000,W,5,E,0,5,0,0.49,0,35,1,0,2,0,1,0,3,0,1,0,N,0,71,38,25
39126,51,100,12,S,F,M,4,Y,100,35,45,99000,W,3,E,0,4,66,1.83,1,42,A,0,1,0,0,0,1,0,0,0,N,0,42,42,5
11354,55,100,10,S,F,S,2,N,25,0,45,97000,H,6,E,1,5,96,0.88,7,50,A,0,2,0,0,0,2,0,0,0,Y,4,120,50,23
11082,53,100,14,M,M,M,6,Y,0,0,100,129000,B,5,O,1,14,36,0,3,174,U,0,0,0,1,0,1,0,0,0,N,0,140,129,116
21710,32,100,3,S,F,M,6,Y,100,100,35,125000,U,5,E,0,0,0,0.24,0,24,0,1,1,0,0,0,1,0,0,0,N,0,33,24,8
40045,57,100,6,M,M,S,3,Y,0,0,100,15000,M,1,E,0,4,0,0,1,32,A,0,1,0,0,0,1,0,0,0,N,0,32,32,14
19145,53,100,10,S,F,M,6,Y,45,100,100,85000,U,3,O,0,6,46,0.96,2,86,A,0,1,0,0,0,2,0,0,0,N,0,99,86,51
28008,35,100,4,S,F,M,5,Y,100,100,0,148000,W,8,E,1,5,8.97,0.34,1,35,1,0,1,0,1,0,2,0,1,0,Y,1,102,39,25
39691,33,100,4,S,F,M,2,Y,100,25,35,50000,W,3,E,0,2,0,0,1,36,F,0,1,0,0,0,1,0,1,0,N,0,36,36,22
31674,46,100,14,S,F,M,6,Y,55,100,75,142000,W,3,E,0,3,2,0.31,1,27,A,1,2,0,0,0,3,1,0,0,N,0,27,27,13
3615,68,100,14,S,F,M,6,Y,0,100,100,107000,W,3,C,2,9,44,0.41,2,80,0,1,0,0,2,0,2,1,0,0,N,0,82,82,45
43559,44,0,8,S,F,S,3,Y,15,35,25,86000,U,9,O,0,9,0,0.42,0,65,A,0,1,0,0,0,1,0,0,0,N,0,65,65,53
10062,64,100,14,S,F,M,3,Y,25,15,45,126000,M,3,O,5,6,143.85,0.8,9,99,A,0,3,0,2,0,5,0,0,0,N,0,162,99,68
31096,60,100,14,S,M,M,4,Y,45,100,35,36000,W,2,O,0,13,18.72,NA,2,134,A,0,1,0,0,0,1,0,0,0,N,0,135,134,116
11823,49,100,14,S,F,M,6,Y,0,100,100,119000,M,4,C,0,8,28.97,0.92,2,111,A,1,1,0,0,0,1,1,0,0,N,0,204,111,97
12640,54,100,1,M,F,M,2,Y,0,0,100,137500,U,9,E,5,5,134.97,0.58,7,50,1,0,0,1,3,0,4,0,0,0,N,0,168,106,70
8756,66,100,14,S,F,S,3,N,25,0,45,22000,U,4,E,0,4,43,0.73,3,44,A,0,2,0,0,0,2,0,0,0,N,0,65,65,53
44119,26,0,1,S,F,S,2,Y,35,25,15,45000,U,3,E,0,5,0,0,1,36,A,0,1,0,0,0,1,0,0,0,N,0,36,36,22
37478,50,100,1,M,F,M,4,Y,45,55,100,119000,M,5,O,0,5,0,0,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,47
16526,55,100,11,S,F,M,3,N,0,0,0,183000,B,5,B,0,8,80.91,0.89,5,110,0,1,3,0,0,0,3,0,1,0,N,0,159,110,86
5185,65,100,14,S,F,M,4,Y,0,100,100,112000,R,5,O,3,15,85.42,0.4,5,124,U,0,1,0,1,0,2,0,0,0,N,0,276,124,101
38157,61,100,9,S,F,M,2,Y,0,0,15,162000,W,8,E,0,3,22,0.92,1,52,A,0,1,0,0,0,1,0,0,0,N,0,52,52,27
24754,46,100,1,S,F,S,2,U,0,25,45,35000,U,5,E,3,0,234.48,1.61,12,39,A,0,5,0,2,0,7,0,0,0,Y,1,142,110,82
4723,58,100,14,S,F,M,4,N,0,0,0,98000,U,3,O,3,8,136.54,0.79,8,117,A,0,1,0,1,0,2,0,0,0,Y,1,288,117,104
1105,37,40,14,S,F,S,3,Y,0,15,15,17000,U,3,A,0,1,8,0.17,2,20,F,0,1,0,1,1,2,0,0,0,N,0,22,22,8
23338,40,100,14,S,F,M,2,Y,0,100,0,87500,M,4,C,1,10,44.97,0.75,3,109,1,1,1,0,1,0,2,1,0,0,Y,1,118,110,69
15545,63,100,14,S,F,M,4,N,0,0,0,139000,H,4,E,2,5,26,0.58,2,41,A,0,2,0,0,0,2,0,0,0,N,0,90,88,42
17583,42,100,11,S,M,M,1,U,35,0,45,58000,U,4,O,0,9,0,0.87,0,91,A,0,1,0,0,0,1,0,0,0,N,0,147,91,61
9784,65,100,12,S,M,M,2,N,15,0,35,68000,W,2,E,6,1,87.94,0.34,7,15,A,2,0,0,1,0,3,0,0,0,N,0,72,72,36
25767,24,100,1,S,F,S,4,Y,0,0,100,137500,U,5,O,0,10,53,0.88,2,78,A,0,1,0,0,0,1,0,0,0,N,0,109,78,49
25998,34,100,2,S,F,M,5,Y,100,100,100,196000,H,8,E,1,2,30,0.52,3,7,A,0,1,0,1,0,3,0,0,0,N,0,102,102,65
42638,58,0,1,M,M,M,2,N,0,0,0,87500,U,4,O,1,6,82.06,0.58,6,117,A,0,0,1,0,0,1,0,0,0,N,0,238,117,115
15781,64,100,11,S,F,S,3,N,0,35,35,28000,M,5,E,1,8,18.97,0.53,1,64,1,0,0,0,1,0,1,0,0,0,N,0,66,66,30
10398,56,100,14,S,M,M,5,N,45,45,45,5.00E+05,W,9,E,2,4,90.83,0.48,6,57,1,0,1,0,3,0,4,0,0,0,N,0,120,120,84
7322,50,100,14,S,F,M,5,Y,65,100,100,66000,W,3,A,2,0,240.91,0.97,15,2,A,1,5,0,2,2,6,1,0,0,Y,2,300,59,22
36456,51,100,6,S,F,M,2,N,45,15,45,51000,M,4,E,0,3,48,1.09,3,51,A,0,2,0,0,0,2,0,0,0,N,0,68,66,32
12512,59,100,14,S,F,S,3,Y,0,0,100,137500,M,7,C,1,7,28.74,0.56,2,104,2,1,0,0,1,0,1,1,0,0,N,0,136,106,68
5419,74,100,8,S,F,S,2,U,0,0,0,42500,W,5,C,4,9,82.29,0.49,6,74,1,1,1,0,2,0,3,1,0,0,N,0,188,120,83
26952,33,100,1,S,F,M,4,Y,100,45,65,165000,M,5,O,1,9,20,0.56,1,86,1,0,0,0,1,0,1,0,0,0,N,0,87,87,51
19265,33,100,6,S,F,M,3,Y,100,15,25,136000,W,6,O,0,9,24,1,1,94,A,0,1,0,0,0,1,0,0,0,N,0,94,94,69
35870,42,100,1,S,F,M,4,Y,35,15,100,90000,W,7,O,0,7,0,0.92,0,75,A,0,1,0,0,0,1,0,0,0,N,0,75,75,61
42543,37,0,14,S,F,S,1,U,0,25,15,17000,W,5,A,0,0,129.94,1.11,6,9,A,0,2,0,1,1,2,0,0,0,N,0,35,35,14
44225,33,0,14,S,M,S,4,U,25,25,15,68000,W,2,E,0,5,2,0.17,1,26,A,0,1,0,0,0,1,0,0,0,N,0,26,26,13
10048,56,100,14,S,F,M,6,Y,65,100,100,32000,W,2,O,2,9,80.97,0.72,6,89,M,0,3,0,0,0,3,0,0,0,N,0,345,89,42
40489,54,100,5,M,F,S,2,Y,15,0,45,122000,M,7,E,0,2,16,0.7,2,24,A,0,2,0,0,0,2,0,0,0,N,0,24,24,11
23590,43,100,2,S,F,S,2,Y,15,55,45,18000,W,4,O,0,9,79.71,0.79,3,183,1,0,0,1,1,0,2,0,0,0,N,0,120,120,108
28819,48,100,14,S,M,M,5,Y,65,0,100,92000,W,5,E,0,5,39,0.92,2,58,A,0,1,0,0,0,1,0,0,0,N,0,240,58,35
13395,50,100,1,S,F,S,2,Y,75,100,0,112500,W,4,O,0,13,38,0.79,2,128,A,0,1,0,0,0,1,0,0,0,N,0,132,128,83
7327,64,100,10,S,F,M,3,Y,25,0,35,43000,H,2,A,2,2,112.94,0.74,10,14,A,0,2,0,1,1,2,0,0,0,Y,3,123,28,15
13326,58,100,13,S,M,M,3,Y,0,0,35,136000,W,9,C,2,8,80.03,0.79,5,144,1,3,0,0,2,0,3,2,0,0,Y,1,144,120,94
14503,54,100,11,S,F,M,2,U,15,0,45,161000,W,8,C,1,8,96.94,0.49,6,123,0,2,0,2,1,0,3,1,0,0,N,0,211,123,71
40261,47,100,14,S,F,M,5,Y,100,100,100,170000,W,7,E,0,5,0,0.28,0,28,G,0,1,0,0,0,1,0,0,0,N,0,28,26,13
39805,59,100,14,S,F,M,5,Y,45,35,45,115000,W,6,E,0,5,0,0,1,34,A,0,1,0,0,0,1,0,0,0,N,0,34,34,20
24016,39,100,11,S,F,M,2,Y,75,100,45,132000,W,4,B,2,3,56.97,0.45,3,30,S,0,1,0,1,0,1,0,1,0,N,0,142,78,42
43326,62,0,1,M,F,S,2,N,35,15,15,17000,M,3,O,0,4,1.5,0.04,1,49,A,0,1,0,0,0,1,0,0,0,N,0,77,49,36
43539,75,0,1,M,M,M,3,Y,0,100,0,30000,W,6,E,0,6,66,1.83,1,66,A,0,1,0,0,0,1,0,0,0,N,0,66,66,25
2022,44,70,1,S,F,S,1,U,0,0,0,62500,U,9,O,0,6,33,0.92,1,109,A,0,1,0,0,0,1,0,0,0,N,0,109,109,72
16793,47,100,14,S,F,M,2,Y,100,100,100,98000,H,3,C,0,3,39.95,0.66,1,52,A,0,3,0,0,0,3,0,0,1,N,0,52,52,37
25424,42,100,14,S,M,M,3,N,15,45,35,127000,W,4,A,1,0,80,0.83,4,3,A,0,1,0,1,1,1,0,0,0,N,0,117,66,24
12598,56,100,6,S,F,M,2,Y,45,100,100,44000,W,4,B,1,6,31.96,0.56,2,95,1,1,0,0,1,0,1,0,1,0,N,0,96,96,60
5003,75,100,14,S,M,M,2,N,0,0,35,32000,R,1,C,5,9,36,0.55,6,113,M,2,2,0,0,0,2,2,0,0,N,0,329,113,66
11964,65,100,14,S,F,M,3,U,45,45,35,47000,U,5,C,4,10,177.46,0.56,12,113,1,1,1,1,1,0,4,1,0,0,N,0,276,114,78
5322,57,100,12,S,F,M,4,N,45,45,45,192000,W,4,E,3,4,113.91,0.23,8,50,0,1,0,0,2,0,2,1,0,0,N,0,256,72,34
8514,60,100,6,S,M,M,6,N,25,65,15,82000,W,5,O,1,9,18.97,0.53,1,78,1,0,0,0,1,0,1,0,0,0,N,0,79,79,42
25036,42,100,14,S,F,M,2,Y,100,100,0,162500,U,9,B,1,2,74.97,0.4,6,15,S,0,3,0,0,0,2,0,2,0,N,0,200,72,41
3213,51,100,14,S,F,M,6,Y,0,100,100,133000,W,5,E,6,4,284.5,0.71,17,27,A,1,2,0,2,0,6,0,0,0,N,0,255,117,80
25919,40,100,12,S,F,M,6,Y,100,100,100,107000,H,4,O,1,6,20,0.56,1,105,1,0,0,0,1,0,1,0,0,0,N,0,106,106,69
26655,33,100,7,S,F,M,2,Y,100,100,35,77000,M,2,O,1,7,35.97,0.78,2,84,A,0,1,0,1,0,2,0,0,0,N,0,96,96,59
26520,38,100,8,S,M,M,3,Y,100,100,45,71000,B,3,O,2,6,26,0.55,2,99,M,0,1,0,0,0,1,0,0,0,N,0,99,99,51
18086,79,100,14,S,F,M,2,N,15,0,35,38000,U,2,O,0,10,111.92,0.92,4,109,A,0,2,0,0,0,2,0,0,0,N,0,142,109,72
21099,31,100,4,S,F,M,3,Y,100,65,100,143000,U,6,A,0,1,37,0.77,2,2,A,0,2,0,0,1,1,0,0,0,N,0,49,49,24
24504,43,100,14,S,F,S,4,Y,15,55,45,180000,U,7,O,1,8,73,0.79,4,120,L,0,1,1,0,0,2,0,0,0,N,0,155,119,73
24595,46,100,6,S,F,S,2,Y,0,100,100,87500,W,3,A,2,2,73,0.57,4,102,1,1,1,0,2,1,2,1,0,0,N,0,125,102,77
4777,57,100,14,S,F,M,6,Y,100,35,100,19000,M,4,O,3,6,77.29,0.71,4,83,1,0,0,0,2,0,3,0,0,0,N,0,214,84,47
18483,33,100,4,S,F,M,3,Y,100,25,15,108000,M,4,O,0,9,20,0.56,1,100,A,0,1,0,0,0,1,0,0,0,N,0,100,100,64
30092,46,100,5,S,F,M,2,Y,65,100,100,87000,B,3,E,0,0,0,0.42,0,22,A,0,1,0,0,0,1,0,0,0,N,0,171,22,9
13084,48,100,6,S,F,M,1,U,0,0,0,250000,W,9,O,2,8,63.95,1,3,62,1,0,1,0,2,0,3,0,0,0,N,0,74,74,50
36890,38,100,14,S,F,M,6,Y,100,45,100,91000,U,5,O,0,7,20,0.94,1,62,A,0,1,0,1,0,2,0,0,0,N,0,63,63,49
43876,47,0,1,S,F,S,1,Y,0,75,75,62500,M,3,O,0,5,12,1,1,50,A,0,1,0,0,0,1,0,0,0,N,0,50,50,37
19427,62,100,5,S,F,M,5,Y,35,15,100,122000,R,4,O,0,10,0,0.46,0,86,A,0,2,0,0,0,2,0,0,0,N,0,87,86,73
44538,40,NA,6,U,F,S,1,U,0,0,0,42500,U,3,O,0,6,319.85,1.09,6,68,A,0,3,0,0,0,3,0,0,0,N,0,201,149,67
36709,34,100,14,S,F,M,4,Y,0,0,0,79000,U,3,O,0,7,0,0.42,0,65,A,0,1,0,0,0,1,0,0,0,N,0,65,65,52
44512,51,NA,14,U,F,U,3,Y,0,0,100,64453,U,3,C,1,3,138.3,1.23,8,84,0,1,4,0,0,0,4,1,0,0,N,0,274,93,90
2657,64,100,14,S,F,M,3,N,45,35,45,80000,U,5,E,1,4,82,0.97,4,34,A,0,2,0,1,0,3,0,0,0,N,0,279,34,8
13594,60,100,6,S,F,S,1,U,25,0,35,133000,W,9,A,4,0,133.97,0.7,11,10,A,0,5,0,1,1,5,0,0,0,N,0,72,72,36
36784,57,100,5,S,F,M,5,Y,100,0,0,87500,W,3,O,0,6,12,1,1,64,A,0,1,0,0,0,1,0,0,0,N,0,64,64,52
25401,38,100,9,S,M,M,2,Y,0,75,0,137500,W,2,O,1,10,20,0.56,1,115,1,0,0,0,1,0,1,0,0,0,N,0,118,118,81
19686,39,100,14,S,F,M,4,Y,100,100,85,143000,M,4,B,0,2,22,0.33,1,73,0,1,1,0,0,0,1,0,1,0,N,0,73,73,49
28413,32,100,14,S,F,M,3,Y,100,15,100,62000,U,7,E,0,3,22,1,2,37,A,1,2,0,0,0,2,0,1,0,N,0,70,70,58
12550,69,100,6,S,F,M,3,N,25,0,35,130000,M,5,E,3,4,61.98,0.39,7,57,A,0,2,0,0,0,2,0,0,0,N,0,58,57,33
28366,55,100,14,S,F,M,4,Y,65,100,100,145000,W,4,E,0,5,250.08,1.66,10,40,A,0,4,0,1,0,4,1,0,0,N,0,78,40,27
31921,46,100,11,S,F,M,3,Y,100,65,45,57000,M,4,E,0,0,23.99,0.36,3,7,A,0,3,0,0,0,4,0,0,0,N,0,42,42,25
36082,55,100,1,M,F,M,3,Y,25,15,100,24000,U,6,E,1,5,40,0.56,2,51,A,1,1,0,0,0,1,0,1,0,N,0,84,51,21
26020,37,100,6,S,F,M,2,Y,100,100,65,190000,U,9,E,2,0,94.88,0.71,10,5,A,0,5,0,0,0,5,0,0,0,N,0,64,64,52
8218,79,100,14,S,F,M,2,N,15,0,35,20000,R,2,E,2,9,36.97,0.46,2,62,1,0,1,0,1,0,2,0,0,0,N,0,90,90,54
35505,69,100,14,S,F,M,3,N,15,0,35,36000,W,2,E,0,4,0,0.32,1,44,A,0,2,0,0,0,2,0,0,0,N,0,44,44,30
23961,43,100,8,S,F,M,4,Y,65,100,100,377000,H,9,O,1,8,20.49,0.57,2,74,A,0,0,0,1,0,1,0,0,0,Y,1,191,74,39
17091,49,100,9,S,F,M,5,Y,0,55,100,115000,M,7,O,0,6,185.26,0.87,8,85,A,0,4,0,0,0,4,0,0,0,N,0,110,85,71
5854,65,100,14,S,F,M,4,N,35,0,35,290000,W,9,O,0,9,77,1.21,5,94,A,0,1,0,0,0,1,0,0,0,N,0,155,94,70
