CustomerID,Age,HomeOwner,ResidenceLength,DwellingType,Gender,Marital,HouseholdSize,ChildPresent,Child0-5,Child6-12,Child13-18,Income,Occupation,HomeValue,MagazineStatus,PaidDirectMailOrders,YearsSinceLastOrder,TotalAmountPaid,DollarsPerIssue,TotalPaidOrders,MonthsSinceLastPayment,LastPaymentType,UnpaidMagazines,PaidCashMagazines,PaidReinstateMagazines,PaidCreditMagazines,ActiveSubscriptions,ExpiredSubscriptions,RequestedCancellations,NoPayCancellations,PaidComplaints,GiftDonor,NumberGiftDonations,MonthsSince1stOrder,MonthsSinceLastOrder,MonthsSinceExpire,Renewal
28,47,10,7,M,F,S,2,U,15,25,25,11000,U,4,E,0,5,42,1.17,1,52,A,0,1,0,0,0,1,0,0,0,N,0,52,52,15,0
29,37,10,3,M,F,S,2,U,0,25,15,41000,U,5,O,0,5,0,0.56,0,51,A,0,1,0,0,0,1,0,0,0,N,0,51,51,37,0
30,42,10,2,M,F,S,2,U,15,15,15,28000,U,6,E,0,5,0,0.58,0,39,A,0,1,0,0,0,1,0,0,0,N,0,49,39,24,0
31,42,10,6,M,F,S,2,U,0,15,15,13000,W,4,E,0,3,0,0.58,0,36,A,0,1,0,0,0,1,0,0,0,N,0,49,36,11,0
32,28,10,2,M,M,S,1,U,35,35,15,46000,M,9,E,0,5,0,0.74,1,36,S,0,2,0,0,0,1,0,1,0,N,0,46,46,34,0
34,37,10,6,M,M,S,1,U,0,15,25,61000,U,4,A,0,1,40,0.33,3,7,A,0,1,0,0,1,1,0,0,0,N,0,44,16,5,0
35,32,10,1,S,F,S,1,Y,100,25,15,5000,U,3,E,0,2,33,0.39,3,44,F,0,1,0,1,0,2,0,1,0,N,0,122,79,67,0
36,65,10,4,M,F,S,1,N,35,15,25,14000,U,5,E,0,4,0,0.62,0,42,A,0,1,0,0,0,1,0,0,0,N,0,42,42,25,0
37,37,10,1,S,F,S,1,U,45,65,15,5000,U,2,A,0,4,250.97,1.83,3,35,A,0,3,0,0,1,2,0,0,0,N,0,41,41,4,0
38,62,10,2,M,M,S,1,U,0,0,45,5000,U,9,E,0,3,22,0.92,1,42,A,0,1,0,0,0,1,0,0,0,N,0,42,42,17,0
39,65,10,8,M,F,S,2,U,25,25,35,5000,U,2,E,0,5,0,0.56,0,41,A,0,1,0,0,0,1,0,0,0,N,0,41,41,25,0
40,27,10,1,S,F,S,3,Y,100,100,15,5000,U,3,E,0,5,66,1.57,1,41,F,0,1,0,0,0,1,0,1,0,N,0,41,41,3,0
41,62,10,3,M,M,S,1,N,15,25,35,78000,U,2,E,0,5,66,1.83,1,40,A,0,1,0,0,0,1,0,0,0,N,0,40,40,3,0
43,22,10,14,M,F,S,3,Y,35,15,15,21000,U,9,E,0,4,6,0.5,1,39,A,0,1,0,0,0,1,0,0,0,N,0,39,39,25,0
44,65,10,4,M,F,S,2,U,25,15,35,14000,U,3,E,0,3,0,0.56,0,37,A,0,1,0,0,0,1,0,0,0,N,0,37,37,24,0
45,37,10,2,M,U,S,3,Y,15,15,15,30000,U,9,E,0,5,0,0,1,36,A,0,1,0,0,0,1,0,0,0,N,0,36,36,23,0
47,42,10,5,M,F,S,3,U,25,35,25,44000,U,3,E,0,5,22,0.92,1,33,A,0,1,0,0,0,1,0,0,0,N,0,33,33,6,0
48,29,10,11,M,F,M,2,Y,15,15,15,67000,U,5,E,0,0,0,0.1,2,13,A,0,3,0,0,0,3,0,0,0,N,0,33,33,18,0
51,47,10,1,M,F,S,2,N,0,15,15,36000,U,8,E,0,5,0,0,1,29,A,0,1,0,0,0,1,0,0,0,N,0,29,29,14,0
53,32,10,14,M,F,S,2,U,0,15,15,11000,U,2,E,0,3,0,0,1,25,A,0,1,0,0,0,1,0,0,0,N,0,25,25,12,0
54,27,10,3,M,F,S,2,U,0,15,15,8000,U,3,E,0,5,0,0.42,0,25,A,0,1,0,0,0,1,0,0,0,N,0,25,25,12,0
55,38,10,2,M,M,S,2,Y,45,65,35,17000,U,9,E,0,2,0,0,1,24,A,0,1,0,0,0,1,0,0,0,N,0,24,24,11,0
56,65,10,10,M,F,S,1,U,25,25,25,5000,U,2,E,0,0,0,0.42,0,22,A,0,1,0,0,0,1,0,0,0,N,0,22,22,10,0
58,27,10,1,M,U,S,1,U,0,0,0,23000,U,9,E,0,1,0,0,1,18,A,0,1,0,0,0,1,0,0,0,N,0,18,18,4,0
59,73,20,14,M,F,S,1,N,45,15,35,16000,R,2,E,1,2,35.99,0.48,4,19,A,0,2,0,1,0,3,0,0,0,N,0,94,94,57,0
61,52,20,1,M,F,M,3,Y,15,0,35,52000,W,4,C,5,10,97.94,0.67,16,95,A,1,2,0,2,0,4,1,0,0,Y,2,300,103,66,0
62,76,20,1,M,F,S,1,U,45,0,25,5000,U,6,O,4,10,155.69,0.56,9,84,A,0,2,1,0,0,3,0,0,0,N,0,275,84,47,0
63,62,20,1,M,M,M,2,N,0,0,0,87500,W,4,O,1,11,81.83,0.79,6,122,1,0,2,0,1,0,3,0,0,0,N,0,198,123,99,0
64,72,20,5,M,M,S,2,U,0,0,0,112500,W,5,C,4,8,79.97,0.47,4,94,2,1,0,0,3,0,3,1,0,0,N,0,96,96,59,0
65,57,20,1,M,F,S,1,N,15,0,35,10000,W,1,A,2,0,159.92,1.16,7,9,A,0,3,0,0,1,2,0,0,0,N,0,173,128,106,0
67,66,20,5,M,F,S,2,Y,100,0,25,5000,H,5,B,2,10,39,0.56,2,80,3,1,0,0,1,0,1,0,1,0,N,0,166,83,45,0
68,48,20,1,M,F,M,3,Y,65,35,100,69000,U,1,B,1,10,71.47,0.32,4,87,0,1,0,0,1,0,2,0,1,0,N,0,252,90,52,0
69,77,20,3,M,F,M,1,N,15,0,35,29000,M,2,O,2,6,48.97,0.51,3,101,1,0,0,0,2,0,2,0,0,0,N,0,204,118,81,0
70,75,20,1,M,F,S,1,N,15,35,35,5000,R,6,O,3,10,114.2,0.56,15,86,A,0,1,1,1,0,3,0,0,0,Y,1,312,86,49,0
71,76,20,1,M,M,S,3,Y,25,0,35,11000,B,3,O,0,8,53,1,2,88,A,0,2,0,0,0,2,0,0,0,N,0,134,134,86,0
73,59,20,5,M,M,M,2,N,45,45,35,17000,M,2,E,1,5,34.97,0.57,3,29,A,0,1,0,1,0,2,0,0,0,N,0,155,29,15,0
74,53,20,1,M,F,S,1,U,0,0,0,62500,W,2,O,3,10,52.94,0.6,3,76,2,0,0,0,2,0,2,0,0,0,N,0,120,120,96,0
75,78,20,5,M,F,M,3,N,45,35,45,128000,U,9,O,0,7,84.97,0.85,10,105,A,1,2,0,0,0,3,0,0,0,N,0,220,105,74,0
77,51,20,1,M,F,M,2,Y,0,0,0,250000,M,9,B,4,6,104,0.56,7,87,0,1,1,0,2,0,3,0,1,0,N,0,258,74,61,0
78,71,20,7,M,F,M,2,N,0,0,0,42500,U,2,A,1,1,86.97,0.73,4,10,A,1,4,0,1,1,3,1,1,0,N,0,258,109,74,0
79,62,20,6,M,F,S,1,U,15,15,25,11000,W,3,A,1,0,200,1.79,11,7,A,1,2,0,1,1,2,0,1,0,Y,1,204,133,83,0
82,50,20,2,M,F,M,1,Y,100,15,25,27000,U,9,E,1,9,30,0.62,2,72,A,0,1,1,0,0,2,0,0,0,Y,1,81,72,31,0
83,48,20,14,S,F,S,1,Y,25,25,25,5000,U,8,A,3,0,54,0.35,4,8,2,1,0,0,2,1,2,0,0,0,N,0,114,83,46,0
84,57,20,1,M,F,S,2,Y,35,0,100,11000,U,3,O,2,9,40,0.71,2,73,1,0,0,0,2,0,2,0,0,0,N,0,99,99,63,0
85,77,20,1,M,F,M,1,N,0,0,15,8000,U,3,A,2,1,90.97,0.59,9,8,A,0,2,0,1,1,2,0,0,0,Y,2,94,94,57,0
86,64,20,1,M,M,M,1,U,0,0,0,87500,U,3,E,1,2,107,0.6,3,69,K,1,1,1,0,0,2,0,1,0,N,0,70,68,17,0
92,52,20,6,M,M,S,1,N,25,15,15,31000,W,3,E,0,4,38.98,0.64,4,25,A,0,1,1,0,0,2,0,0,0,N,0,25,25,11,0
93,62,20,1,M,F,S,1,Y,0,0,0,15000,W,1,O,0,8,40.97,0.79,3,70,1,0,1,0,2,0,3,0,0,0,N,0,71,71,46,0
94,70,20,1,M,F,S,1,N,0,0,25,7000,W,5,O,1,7,76.96,1.83,3,71,A,0,1,0,1,0,2,0,0,0,N,0,258,71,47,0
95,70,20,1,M,F,M,3,Y,35,0,35,10000,R,1,E,1,5,35.97,0.6,2,47,1,0,1,0,1,0,2,0,0,0,N,0,48,48,11,0
96,64,20,1,M,F,S,1,U,15,35,35,7000,U,2,E,1,5,18.97,0.32,1,64,0,1,0,0,1,0,1,0,1,0,N,0,66,66,30,0
97,67,20,3,M,F,S,1,N,35,15,25,8000,U,3,A,0,1,80,1.38,3,9,A,0,2,0,0,1,1,0,0,0,N,0,63,46,15,0
98,61,20,1,M,F,M,2,Y,100,15,35,21000,U,3,E,0,5,40,0.83,2,35,A,0,1,0,0,0,1,0,0,0,N,0,60,35,10,0
99,63,20,6,M,F,S,1,N,35,0,15,5000,U,1,E,3,1,139.04,0.7,15,18,A,0,3,0,1,0,4,0,0,0,N,0,240,118,81,0
101,57,20,1,M,M,S,1,U,0,15,25,21000,B,2,E,1,4,5.99,0.12,1,42,0,1,1,0,0,0,1,0,1,0,N,0,42,42,29,0
102,58,20,1,M,F,S,1,U,0,0,0,30000,M,3,E,0,1,39.96,1.74,3,21,A,0,2,0,0,0,2,0,0,0,N,0,21,21,9,0
103,65,20,12,M,F,S,1,U,25,0,25,27000,U,2,A,1,1,13,0.4,2,10,A,0,2,0,0,1,1,0,0,0,N,0,17,17,3,0
104,50,20,1,M,F,S,2,Y,0,15,45,12000,U,9,E,1,1,118.75,0.47,3,5,A,0,2,0,1,0,2,0,0,1,N,0,54,54,17,0
105,78,20,4,M,F,S,1,N,25,15,25,66000,R,4,E,3,2,278.88,1.19,19,20,0,1,4,0,0,0,4,1,0,0,Y,4,262,74,27,0
106,61,20,3,M,F,S,1,Y,0,0,0,62500,W,3,C,3,7,133.89,0.47,8,155,2,1,1,0,2,0,3,1,0,0,Y,2,409,155,107,0
107,60,20,2,S,F,M,3,Y,0,0,0,42500,U,5,E,1,8,59.91,0.52,4,63,1,0,1,0,2,0,3,0,0,0,N,0,NA,123,99,0
108,53,20,1,M,F,S,1,U,35,0,45,30000,U,6,O,1,9,41,0.85,9,101,2,0,0,0,1,0,1,0,0,0,Y,2,250,103,78,0
109,66,20,1,M,F,S,2,Y,45,25,15,5000,W,7,E,6,1,165.79,0.35,11,23,A,2,1,1,0,0,2,1,1,0,Y,1,204,23,11,0
110,61,20,1,M,F,M,3,Y,100,0,25,5000,W,2,B,0,9,143.31,0.57,5,108,F,1,2,1,0,0,4,0,1,0,N,0,138,138,108,0
111,62,20,1,M,F,M,2,U,15,0,15,77000,B,1,B,3,8,147.94,0.36,7,76,0,1,2,0,1,0,2,1,1,0,N,0,168,78,61,0
113,53,20,1,M,F,M,2,Y,35,25,15,12000,U,5,O,1,9,120.97,0.42,4,93,A,0,4,0,0,0,4,0,0,0,N,0,93,93,64,0
115,54,20,1,M,F,S,1,U,35,45,45,18000,M,4,A,2,2,71,0.67,4,2,A,0,1,1,1,1,2,0,0,0,N,0,126,101,76,0
116,50,20,1,M,U,S,1,U,0,0,0,15000,M,2,O,3,10,181.81,1,9,83,2,0,0,1,3,0,4,0,0,0,Y,2,126,86,60,0
117,51,20,1,M,F,S,2,U,25,15,15,33000,U,3,O,4,10,115.97,0.78,6,86,A,0,2,1,1,0,4,0,0,0,N,0,106,106,69,0
118,58,20,1,M,F,S,1,N,0,0,0,20000,U,3,E,1,0,21.01,0.22,3,35,0,2,3,0,0,0,2,2,1,0,Y,2,40,40,27,0
119,63,20,1,M,F,M,1,Y,45,0,100,38000,U,4,B,0,6,70,0.97,4,90,A,1,1,0,0,0,2,0,1,0,Y,1,226,90,57,0
121,48,20,1,M,F,S,2,Y,100,100,0,42500,U,4,S,1,6,19,0.58,1,98,F,0,0,0,2,0,2,0,0,0,N,0,119,119,83,0
123,65,20,3,M,F,S,1,N,0,0,0,42500,M,9,E,1,8,99.97,0.72,6,64,A,0,1,0,0,0,1,0,0,0,Y,1,203,64,21,0
124,50,20,5,M,F,S,2,Y,100,75,65,38000,U,6,E,0,1,20,0.44,4,7,A,0,4,0,0,0,3,0,1,0,N,0,47,47,33,0
125,66,20,3,M,F,M,4,Y,65,25,100,12000,M,3,E,1,0,18.97,0.53,1,62,1,0,0,0,1,0,1,0,0,0,N,0,63,63,27,0
127,68,20,1,M,F,S,2,Y,15,35,35,32000,M,1,O,0,10,19.97,0.83,2,83,A,0,2,0,0,0,2,0,0,0,N,0,83,83,71,0
128,49,20,1,M,F,S,1,U,0,0,0,20000,U,4,O,0,11,12,0.79,1,124,A,0,2,0,0,0,2,0,0,0,N,0,135,124,109,0
129,69,20,1,M,F,S,3,Y,100,55,35,9000,M,4,C,0,14,12,0.83,1,135,1,1,0,0,1,0,1,1,0,0,N,0,147,125,109,0
130,47,20,1,M,F,S,4,Y,15,35,45,52000,M,4,B,0,7,56.98,0.8,3,104,0,1,3,0,0,0,3,0,1,0,N,0,104,104,73,0
131,53,20,1,M,U,M,4,Y,0,100,0,62500,U,5,O,0,4,28,0.56,1,52,A,0,1,0,0,0,2,0,0,0,N,0,148,52,37,0
132,47,20,1,M,F,S,2,U,25,25,45,20000,U,3,C,0,5,179.8,0,2,51,A,0,2,0,0,0,1,0,0,1,N,0,168,51,38,0
133,64,20,1,M,F,S,2,U,35,15,15,8000,B,2,B,0,14,20,0,1,141,0,1,1,0,0,0,1,0,1,0,N,0,141,141,116,0
134,75,20,6,M,F,M,4,N,45,45,35,128000,W,7,O,0,13,19,0.79,1,129,A,0,1,0,0,0,1,0,0,0,N,0,129,129,103,0
135,32,20,1,M,M,M,2,Y,85,75,65,44000,U,5,O,0,15,19,0.79,1,128,A,0,1,0,0,0,1,0,0,0,N,0,128,128,103,0
136,56,20,1,M,M,M,3,U,25,15,25,40000,U,1,O,0,8,14,0.58,2,121,A,0,1,0,0,0,1,0,0,0,N,0,125,121,108,0
137,79,20,1,M,F,M,4,Y,25,15,35,49000,U,3,O,0,14,19,0.79,1,130,A,0,1,0,0,0,1,0,0,0,N,0,130,130,106,0
138,43,20,1,M,F,M,1,Y,0,0,0,42500,M,5,O,0,10,91.97,0.92,6,109,1,0,1,0,1,0,2,0,0,0,Y,1,238,98,50,0
140,33,20,1,S,F,S,1,Y,35,15,15,51000,U,3,A,0,1,10,0.75,1,4,A,0,1,0,1,1,1,0,0,0,N,0,122,103,85,0
141,47,20,8,M,M,M,2,Y,100,15,15,72000,W,7,E,0,3,0,0.88,0,28,A,0,1,0,0,0,1,0,0,0,N,0,122,28,11,0
142,45,20,1,M,M,M,2,Y,0,100,45,46000,U,4,O,0,7,41,1.71,2,109,A,0,1,0,0,0,1,0,0,0,N,0,119,109,95,0
143,45,20,1,M,F,M,3,Y,75,100,45,31000,M,2,O,0,9,8.73,1.25,1,108,A,0,0,1,0,0,1,0,0,0,N,0,112,108,100,0
144,52,20,3,M,F,M,2,U,45,0,45,5000,W,3,B,0,5,0,0.5,1,48,A,1,1,0,0,0,1,0,1,0,Y,1,111,111,97,0
145,43,20,1,M,F,S,1,Y,75,100,45,33000,U,5,O,0,7,0,0.92,0,111,A,0,1,0,0,0,1,0,0,0,N,0,111,111,97,0
146,47,20,1,M,F,S,2,Y,15,35,45,12000,U,2,A,0,2,52,0.87,2,5,A,0,1,0,1,1,1,0,0,0,N,0,110,110,84,0
147,53,20,2,M,F,S,1,N,0,15,15,6000,U,9,O,0,7,33,0.92,1,109,A,0,1,0,0,0,1,0,0,0,N,0,109,109,72,0
148,76,20,1,M,M,M,2,N,0,0,35,5000,R,3,O,0,10,20,1.25,2,107,A,0,2,0,0,0,2,0,0,0,N,0,107,107,94,0
149,49,20,1,M,F,S,3,Y,0,75,75,15000,U,3,O,0,8,42,1.17,1,105,A,0,1,0,0,0,1,0,0,0,N,0,105,105,68,0
150,33,20,1,M,F,S,3,Y,75,100,15,13000,M,3,E,0,3,0,0.52,0,39,A,0,2,0,0,0,3,0,0,0,N,0,50,50,37,0
151,35,20,1,M,F,S,1,Y,0,0,0,15000,U,5,O,0,7,3.9,0.22,2,82,A,0,2,0,0,0,2,0,0,0,N,0,100,100,87,0
152,34,20,2,M,F,S,2,Y,100,0,0,30000,U,4,O,0,10,0,0.92,0,98,1,0,0,0,1,0,1,0,0,0,N,0,100,100,85,0
153,39,20,1,M,F,S,2,Y,100,0,100,62500,H,4,E,0,4,0,0.36,0,47,A,1,1,0,0,0,1,1,1,0,N,0,62,47,34,0
154,36,20,1,M,F,S,1,U,0,0,0,62500,B,2,O,0,10,22,0.92,1,89,2,0,0,0,1,0,1,0,0,0,N,0,91,91,66,0
155,76,20,1,M,F,S,2,U,0,0,0,137500,H,3,E,0,4,0,0,1,48,A,0,1,0,0,0,1,0,0,0,N,0,48,48,35,0
156,45,20,5,M,F,M,3,Y,25,15,100,10000,M,4,E,0,1,10,0.1,2,15,5,2,0,0,2,0,2,0,2,0,N,0,88,19,3,0
160,32,20,1,S,F,S,1,U,0,0,0,87500,U,6,O,0,8,20,0.56,1,80,1,0,0,0,1,0,1,0,0,0,N,0,81,81,45,0
161,65,20,5,M,F,S,1,U,15,35,35,5000,M,2,O,0,9,19.97,1.66,1,80,A,0,1,0,0,0,1,0,0,0,N,0,80,80,67,0
162,54,20,2,M,F,S,1,U,15,0,45,5000,U,2,O,0,14,40,0.8,1,124,A,0,1,0,0,0,1,0,0,0,N,0,124,124,74,0
163,31,20,1,S,F,S,4,Y,100,35,15,52000,U,2,O,0,7,0,0.92,0,77,A,0,1,0,0,0,1,0,0,0,N,0,77,77,61,0
165,49,20,4,M,F,S,2,Y,15,15,35,12000,U,4,B,0,10,22,1.64,1,65,S,0,2,0,0,0,1,0,1,0,N,0,77,77,64,0
166,64,20,1,M,F,S,1,Y,15,35,15,18000,U,2,O,0,9,0,0.76,0,63,A,0,1,0,0,0,1,0,0,0,N,0,77,63,49,0
167,30,20,1,S,M,M,2,Y,100,100,65,73000,M,3,A,0,5,291,1.2,6,27,A,0,4,0,0,1,3,0,1,0,N,0,49,46,8,0
168,46,20,1,M,F,M,4,Y,100,15,15,5000,M,3,E,0,2,25,0.62,4,19,1,0,1,0,3,0,4,0,0,0,N,0,20,20,7,0
169,48,20,1,M,M,S,3,Y,0,0,0,87500,M,2,O,0,4,137,1.83,4,57,A,0,2,0,0,0,2,0,0,0,N,0,70,57,43,0
170,72,20,4,S,F,M,1,U,35,0,25,8000,R,2,E,0,4,0,1.02,0,39,A,0,1,0,0,0,1,0,0,0,N,0,75,39,25,0
171,77,20,1,M,F,M,4,Y,35,35,15,37000,R,6,B,0,8,62.94,1.22,4,74,A,0,4,0,0,0,3,0,1,0,N,0,74,74,63,0
173,60,20,6,M,F,M,3,N,0,0,15,38000,M,3,O,0,6,0,0.42,0,74,A,0,1,0,0,0,1,0,0,0,N,0,74,74,61,0
174,30,20,1,M,F,M,3,U,25,15,15,58000,U,4,O,0,10,15.97,1.33,1,72,A,0,1,0,0,0,1,0,0,0,N,0,72,72,60,0
175,49,20,1,M,F,S,1,U,0,0,0,42500,W,2,E,0,0,48.91,1.06,3,13,A,0,3,0,0,0,3,0,0,0,N,0,59,59,46,0
176,54,20,5,M,F,S,1,U,35,35,25,13000,U,9,O,0,7,9.99,0.83,1,71,A,0,1,0,0,0,1,0,0,0,N,0,71,71,59,0
177,43,20,1,M,F,S,1,Y,15,45,45,8000,W,1,E,0,4,113.94,1.42,2,68,0,1,2,0,0,0,2,0,1,0,N,0,68,68,33,0
178,61,20,6,M,M,S,2,Y,35,35,25,46000,M,5,E,0,4,70,1.94,3,45,A,0,1,0,0,0,1,0,0,0,N,0,68,45,31,0
180,50,20,4,M,F,S,2,Y,65,65,100,24000,M,9,O,0,9,0,0.56,0,66,A,0,1,0,0,0,1,0,0,0,N,0,66,66,49,0
182,48,20,1,M,F,S,2,U,15,25,15,27000,U,4,O,0,10,0,0.56,0,65,A,0,1,0,0,0,1,0,0,0,N,0,65,65,49,0
183,40,20,14,S,M,S,3,Y,100,45,75,82000,U,2,O,0,7,12,0.5,2,64,A,0,2,0,0,0,2,0,0,0,N,0,64,64,52,0
184,25,20,1,M,F,S,2,Y,100,45,65,33000,U,3,O,0,5,12,0.33,1,59,0,0,0,0,1,0,1,0,0,0,N,0,61,58,49,0
185,40,20,1,M,F,S,1,U,25,45,45,12000,M,9,E,0,8,25,0.54,2,60,1,0,0,0,2,0,2,0,0,0,N,0,62,62,25,0
186,27,20,4,M,F,S,2,Y,100,15,0,10000,M,4,E,0,5,0,0,4,34,S,0,4,0,0,0,3,0,1,0,N,0,50,50,37,0
187,37,20,1,M,F,S,1,U,35,25,15,38000,U,5,O,0,4,0,0,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,46,0
188,74,20,1,M,F,S,1,N,0,0,0,15000,M,1,O,0,3,11.99,0.5,2,60,A,0,2,0,0,0,2,0,0,0,N,0,60,60,46,0
189,32,20,1,M,F,S,1,U,0,25,25,40000,H,5,E,0,3,173.97,1.53,4,59,A,0,3,0,0,0,3,0,0,0,N,0,60,59,11,0
190,48,20,3,M,F,S,2,Y,100,0,0,225000,U,1,E,0,4,56,1.17,1,60,A,0,1,0,0,0,1,0,0,0,N,0,60,60,9,0
191,53,20,1,M,M,S,1,Y,0,0,0,62500,U,6,E,0,3,28,1.17,1,59,A,0,1,0,0,0,1,0,0,0,N,0,59,59,35,0
192,59,20,1,M,F,S,3,N,0,0,0,30000,U,9,E,0,5,46,0.85,3,56,A,0,2,0,0,0,2,0,0,0,N,0,56,56,30,0
193,68,20,1,M,F,S,2,Y,35,25,25,5000,R,9,O,0,3,0,0,1,59,A,0,1,0,0,0,1,0,0,0,N,0,59,59,46,0
194,52,20,1,M,F,S,1,U,0,0,0,42500,U,4,E,0,5,20,0.28,1,56,0,1,1,0,0,0,1,0,1,0,N,0,56,56,19,0
196,43,20,1,M,F,S,3,U,0,0,0,30000,U,8,E,0,5,0,0.56,0,56,A,0,1,0,0,0,1,0,0,0,N,0,56,56,18,0
198,30,20,1,M,F,S,2,Y,100,100,65,17000,U,1,O,0,4,0,0,1,55,A,0,1,0,0,0,1,0,0,0,N,0,55,55,42,0
201,62,20,1,M,F,M,2,Y,15,0,35,5000,W,5,E,0,4,0,0.77,0,30,A,0,1,0,0,0,1,0,0,0,N,0,52,30,13,0
202,42,20,1,M,F,S,2,Y,0,0,75,30000,H,1,E,0,0,72,1.72,4,21,A,0,2,0,0,0,2,0,0,0,N,0,66,32,14,0
203,40,20,2,M,F,S,1,Y,35,35,15,13000,U,3,O,0,3,0,0.56,0,51,A,0,1,0,0,0,1,0,0,0,N,0,51,51,37,0
205,35,20,1,M,U,S,1,U,0,0,0,42500,U,8,O,0,3,2,0.17,1,50,A,0,1,0,0,0,1,0,0,0,N,0,50,50,37,0
206,53,20,2,M,F,S,3,U,0,0,0,42500,U,5,E,0,5,10,0.59,2,34,A,0,2,0,0,0,2,0,0,0,N,0,49,49,36,0
207,31,20,1,M,F,S,1,Y,45,15,15,22000,W,9,E,0,3,23.99,0.38,3,44,1,0,0,0,3,0,3,0,0,0,N,0,49,49,36,0
208,27,20,4,M,U,S,1,Y,75,100,15,16000,U,9,E,0,3,55,2.04,2,32,A,0,1,0,0,0,1,0,0,0,N,0,45,32,29,0
209,22,20,1,M,F,S,1,U,25,25,35,12000,M,1,E,0,3,12,0.67,2,45,A,0,2,0,0,0,2,0,0,0,N,0,45,45,32,0
210,27,20,5,M,M,S,3,Y,100,100,15,64000,U,3,E,0,3,31.01,1.5,3,33,S,0,2,0,0,0,1,0,1,0,N,0,45,34,31,0
